year,campus,campus_display,discipline,college_school_labels,applicants,admits,enrollees,admit_gpa,enrollee_gpa,admit_rate,yield_rate,selectivity_label
2023,UCB,UC Berkeley,Architecture,College Of Environmental Design,2846,238,124,4.16 - 4.29,4.12 - 4.29,8.0,52.0,Most Selective
2023,UCB,UC Berkeley,Arts & Humanities,College Of Letters & Science,9523,2140,916,4.06 - 4.27,4.00 - 4.25,22.0,43.0,Highly Selective
2023,UCB,UC Berkeley,Computer Science,College Of Letters & Science,9018,375,228,4.20 - 4.30,4.17 - 4.29,4.0,61.0,Most Selective
2023,UCB,UC Berkeley,Engineering,College Of Chemistry; College Of Engineering; College Of Letters & Science,26470,1893,942,4.20 - 4.30,4.18 - 4.30,7.0,50.0,Most Selective
2023,UCB,UC Berkeley,Life Sciences,College Of Letters & Science; College Of Natural Resources,20179,3302,1332,4.17 - 4.30,4.13 - 4.28,16.0,40.0,Highly Selective
2023,UCB,UC Berkeley,Other/Interdisciplinary,College Of Letters & Science; College Of Natural Resources,6674,881,400,4.14 - 4.29,4.09 - 4.27,13.0,45.0,Highly Selective
2023,UCB,UC Berkeley,Physical Sciences/Math,College Of Chemistry; College Of Engineering; College Of Letters & Science,9882,1976,943,4.17 - 4.30,4.13 - 4.29,20.0,48.0,Highly Selective
2023,UCB,UC Berkeley,Public Admin,College Of Letters & Science,342,57,27,4.17 - 4.29,4.13 - 4.28,17.0,47.0,Highly Selective
2023,UCB,UC Berkeley,Public Health,College Of Letters & Science,2615,122,39,4.16 - 4.28,4.13 - 4.28,5.0,32.0,Most Selective
2023,UCB,UC Berkeley,Social Sciences,College Of Environmental Design; College Of Letters & Science,20493,1746,722,4.14 - 4.29,4.08 - 4.27,9.0,41.0,Most Selective
2023,UCB,UC Berkeley,Undeclared,College Of Engineering; College Of Letters & Science; College Of Natural Resources,17867,1947,968,4.12 - 4.29,4.04 - 4.28,11.0,50.0,Highly Selective
2023,UCD,UC Davis,Architecture,College Of Agric & Environ Sciences,513,222,40,3.96 - 4.21,3.96 - 4.20,43.0,18.0,Selective
2023,UCD,UC Davis,Arts & Humanities,College Of Letters & Science,6712,3085,456,3.96 - 4.24,3.87 - 4.15,46.0,15.0,Selective
2023,UCD,UC Davis,Business,College Of Agric & Environ Sciences,2377,847,126,4.00 - 4.27,3.95 - 4.21,36.0,15.0,Selective
2023,UCD,UC Davis,Computer Science,College Of Letters & Science,5256,989,118,4.19 - 4.30,4.17 - 4.30,19.0,12.0,Highly Selective
2023,UCD,UC Davis,Education,College Of Agric & Environ Sciences,403,141,32,4.00 - 4.23,3.96 - 4.17,35.0,23.0,Selective
2023,UCD,UC Davis,Engineering,College Of Agric & Environ Sciences; College Of Engineering,17505,5941,898,4.09 - 4.29,4.00 - 4.27,34.0,15.0,Selective
2023,UCD,UC Davis,Life Sciences,College Of Agric & Environ Sciences; College Of Biological Sciences,21595,10836,2279,4.07 - 4.28,4.03 - 4.25,50.0,21.0,Moderately Accessible
2023,UCD,UC Davis,Other Health Science,College Of Letters & Science,530,307,86,4.00 - 4.25,3.95 - 4.20,58.0,28.0,Moderately Accessible
2023,UCD,UC Davis,Other/Interdisciplinary,College Of Agric & Environ Sciences; College Of Biological Sciences; College Of Letters & Science,6170,2684,452,4.00 - 4.26,3.91 - 4.21,44.0,17.0,Selective
2023,UCD,UC Davis,Physical Sciences/Math,College Of Agric & Environ Sciences; College Of Letters & Science,5040,3021,474,4.00 - 4.26,3.89 - 4.18,60.0,16.0,Moderately Accessible
2023,UCD,UC Davis,Public Admin,College Of Agric & Environ Sciences,121,79,12,3.94 - 4.23,3.70 - 4.02,65.0,15.0,Moderately Accessible
2023,UCD,UC Davis,Social Sciences,College Of Agric & Environ Sciences; College Of Letters & Science,20082,7608,951,4.00 - 4.25,3.91 - 4.20,38.0,13.0,Selective
2023,UCD,UC Davis,Undeclared,College Of Agric & Environ Sciences; College Of Biological Sciences; College Of Letters & Science,8334,3640,654,4.00 - 4.25,3.87 - 4.16,44.0,18.0,Selective
2023,UCI,UC Irvine,Arts & Humanities,School Of Humanities; School Of The Arts,7740,2070,344,4.00 - 4.25,3.90 - 4.19,27.0,17.0,Selective
2023,UCI,UC Irvine,Business,Information & Computer Sci; School Of Administration; School Of Social Sciences,15739,2030,350,4.11 - 4.28,4.07 - 4.28,13.0,17.0,Highly Selective
2023,UCI,UC Irvine,Computer Science,Information & Computer Sci,10071,1702,362,4.12 - 4.29,4.11 - 4.29,17.0,21.0,Highly Selective
2023,UCI,UC Irvine,Education,School Of Biological Sciences; School Of Education,1989,521,132,4.00 - 4.26,3.99 - 4.23,26.0,25.0,Selective
2023,UCI,UC Irvine,Engineering,Information & Computer Sci; Interdisciplinary Studies; School Of Engineering,17832,5071,1195,4.11 - 4.29,4.05 - 4.28,28.0,24.0,Selective
2023,UCI,UC Irvine,Life Sciences,School Of Biological Sciences; School Of Physical Sciences,15624,4938,843,4.12 - 4.29,4.05 - 4.27,32.0,17.0,Selective
2023,UCI,UC Irvine,Nursing,School Of Nursing,5870,70,34,4.28 - 4.33,4.26 - 4.33,1.0,49.0,Most Selective
2023,UCI,UC Irvine,Other/Interdisciplinary,Information & Computer Sci; School Of Humanities; School Of Social Sciences; Social Ecology,4548,1491,266,4.11 - 4.28,4.04 - 4.25,33.0,18.0,Selective
2023,UCI,UC Irvine,Pharmacy,School Of Pharmacy & Pharm Sciences,1518,448,161,4.04 - 4.26,4.00 - 4.23,30.0,36.0,Selective
2023,UCI,UC Irvine,Physical Sciences/Math,School Of Physical Sciences,5648,2296,382,4.07 - 4.27,4.00 - 4.20,41.0,17.0,Selective
